slug_id,id,name,education_levels,student_teacher_ratio,rating,grades,funding_type,student_count,review_count,parent_rating,assigned
Cherry-Run-Elementary-School-0772866011,772866011,Cherry Run Elementary School,['elementary'],11.8,7.0,"['K', '1', '2', '3', '4', '5', '6']",public,435.0,20,4,True
Lake-Braddock-Secondary-0772864661,772864661,Lake Braddock Secondary,"['middle', 'high']",15.9,7.0,"['7', '8', '9', '10', '11', '12']",public,4287.0,26,4,True
Swanson-Middle-School-0772858951,772858951,Swanson Middle School,['middle'],14.5,7.0,"['6', '7', '8']",public,1328.0,6,4,True
McKinley-Elementary-School-0772858911,772858911,McKinley Elementary School,['elementary'],15.8,7.0,"['K', '1', '2', '3', '4', '5']",public,791.0,17,4,True
Chesterbrook-Elementary-School-0772863761,772863761,Chesterbrook Elementary School,['elementary'],15.2,9.0,"['K', '1', '2', '3', '4', '5', '6']",public,694.0,22,4,True
Crestwood-Elementary-School-0772863851,772863851,Crestwood Elementary School,['elementary'],12.4,4.0,"['K', '1', '2', '3', '4', '5', '6']",public,612.0,8,5,True
John-R.-Lewis-High-School-0772864741,772864741,John R. Lewis High School,['high'],12.6,3.0,"['9', '10', '11', '12']",public,1765.0,19,4,True
Key-Middle-School-0772864611,772864611,Key Middle School,['middle'],11.3,3.0,"['7', '8']",public,799.0,7,4,True
Glebe-Elementary-School-0772858801,772858801,Glebe Elementary School,['elementary'],14.4,8.0,"['K', '1', '2', '3', '4', '5']",public,586.0,10,5,True
Nottingham-Elementary-School-0772858921,772858921,Nottingham Elementary School,['elementary'],16.0,8.0,"['K', '1', '2', '3', '4', '5']",public,499.0,28,3,True
Williamsburg-Middle-School-0772859041,772859041,Williamsburg Middle School,['middle'],13.5,9.0,"['6', '7', '8']",public,1379.0,16,4,True
Dr.-Charles-R.-Drew-Elementary-0772858751,772858751,Dr. Charles R. Drew Elementary,['elementary'],12.5,4.0,"['K', '1', '2', '3', '4', '5']",public,673.0,10,4,True
Wakefield-High-School-0772859021,772859021,Wakefield High School,['high'],12.5,4.0,"['9', '10', '11', '12']",public,2339.0,20,4,True
Gunston-Middle-School-0772859061,772859061,Gunston Middle School,['middle'],13.0,5.0,"['6', '7', '8']",public,1063.0,12,4,True
Shrevewood-Elementary-School-0772865231,772865231,Shrevewood Elementary School,['elementary'],15.2,5.0,"['K', '1', '2', '3', '4', '5', '6']",public,774.0,26,4,True
Kilmer-Middle-School-0772864631,772864631,Kilmer Middle School,['middle'],15.5,6.0,"['7', '8']",public,1136.0,24,4,True
Marshall-High-School-0772864901,772864901,Marshall High School,['high'],15.5,6.0,"['9', '10', '11', '12']",public,2254.0,25,4,True
Irving-Middle-School-0772864521,772864521,Irving Middle School,['middle'],16.0,7.0,"['7', '8']",public,1100.0,17,3,True
West-Springfield-Elementary-School-0772865501,772865501,West Springfield Elementary School,['elementary'],14.0,8.0,"['K', '1', '2', '3', '4', '5', '6']",public,520.0,20,4,True
West-Springfield-High-School-0772865511,772865511,West Springfield High School,['high'],16.9,9.0,"['9', '10', '11', '12']",public,2310.0,14,4,True
Barcroft-Elementary-School-0772858731,772858731,Barcroft Elementary School,['elementary'],9.5,5.0,"['K', '1', '2', '3', '4', '5']",public,434.0,7,5,True
Westlawn-Elementary-School-0772865541,772865541,Westlawn Elementary School,['elementary'],12.1,3.0,"['K', '1', '2', '3', '4', '5', '6']",public,812.0,13,5,True
Falls-Church-High-School-0772864011,772864011,Falls Church High School,['high'],12.9,2.0,"['9', '10', '11', '12']",public,2111.0,29,4,True
Jackson-Middle-School-0772864831,772864831,Jackson Middle School,['middle'],14.2,5.0,"['7', '8']",public,1117.0,17,4,True
Bailey's-Elementary-School-for-the-Arts-and-Sciences-0772863611,772863611,Bailey's Elementary School for the Arts and Sciences,['elementary'],12.0,,"['K', '1', '2']",public,762.0,20,4,True
Justice-High-School-0772864531,772864531,Justice High School,['high'],13.2,2.0,"['9', '10', '11', '12']",public,2241.0,11,4,True
Glasgow-Middle-School-0772864201,772864201,Glasgow Middle School,['middle'],12.4,4.0,"['6', '7', '8']",public,1817.0,24,3,True
Flint-Hill-Elementary-School-0772864021,772864021,Flint Hill Elementary School,['elementary'],16.3,8.0,"['K', '1', '2', '3', '4', '5', '6']",public,688.0,18,4,True
Madison-High-School-0772864851,772864851,Madison High School,['high'],15.6,6.0,"['9', '10', '11', '12']",public,2225.0,22,4,True
Thoreau-Middle-School-0772865361,772865361,Thoreau Middle School,['middle'],14.9,6.0,"['7', '8']",public,1210.0,6,3,True
Greenbriar-East-Elementary-School-0772864251,772864251,Greenbriar East Elementary School,['elementary'],14.7,5.0,"['K', '1', '2', '3', '4', '5', '6']",public,922.0,27,3,True
Chantilly-High-School-0772863461,772863461,Chantilly High School,['high'],13.6,7.0,"['9', '10', '11', '12']",public,2863.0,15,4,True
Rocky-Run-Middle-School-0772865941,772865941,Rocky Run Middle School,['middle'],16.5,9.0,"['7', '8']",public,1281.0,16,4,True
Mason-Crest-Elementary-School-0772933311,772933311,Mason Crest Elementary School,['elementary'],11.5,4.0,"['K', '1', '2', '3', '4', '5']",public,581.0,13,5,True
Oak-Street-Elementary-School-0772866441,772866441,Oak Street Elementary School,['elementary'],14.5,8.0,"['2', '3', '4', '5']",public,781.0,14,5,True
Meridian-High-School-0772866421,772866421,Meridian High School,['high'],11.5,7.0,"['9', '10', '11', '12']",public,825.0,11,4,True
Mary-Ellen-Henderson-Middle-School-0772866431,772866431,Mary Ellen Henderson Middle School,['middle'],12.5,8.0,"['6', '7', '8']",public,599.0,10,3,True
Daniels-Run-Elementary-School-0772893401,772893401,Daniels Run Elementary School,['elementary'],13.0,5.0,"['K', '1', '2', '3', '4', '5', '6']",public,714.0,20,4,True
Johnson-Middle-School-0772864711,772864711,Johnson Middle School,['middle'],14.5,6.0,"['7', '8']",public,1012.0,9,3,True
Fairfax-High-School-0772863931,772863931,Fairfax High School,['high'],15.3,6.0,"['9', '10', '11', '12']",public,2325.0,10,4,True
Jefferson-Middle-School-0772858851,772858851,Jefferson Middle School,['middle'],12.0,5.0,"['6', '7', '8']",public,1187.0,11,5,True
Henry-Elementary-School-0772858821,772858821,Henry Elementary School,['elementary'],12.5,6.0,"['K', '1', '2', '3', '4', '5']",public,636.0,9,5,True
Oakton-Elementary-School-0772865041,772865041,Oakton Elementary School,['elementary'],14.9,8.0,"['K', '1', '2', '3', '4', '5', '6']",public,799.0,14,4,True
